"BBL","Address","Zip Code","Year Built","Total Units","Residential Units","Rent Stabilized Units","Latest sale price","Sales (09/01/2022 - 09/30/2022)","Marshal Evictions (10/02/2022 - 10/31/2022)","HPD Complaints (09/01/2022 - 09/30/2022)","HPD Violations (10/02/2022 - 10/31/2022)","DOB Complaints (10/02/2022 - 10/29/2022)","DOB Violations (10/02/2022 - 10/31/2022)","ECB Violations (10/02/2022 - 10/31/2022)","DOB Permit Applications (10/02/2022 - 11/01/2022)","DOB Permit Issuances (10/02/2022 - 11/01/2022)","Litigations against landlords (09/01/2022 - 09/30/2022)","Housing Court Cases (10/02/2022 - 11/01/2022)"
"1018430058","68 West 108th Street","10025","1923","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0"
"1018327502","65 West 96th Street","10025","1971","218","217","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018877501","306 West 97th Street","10025","1920","61","61","20","0","0","0","0","0","0","0","0","0","0","0","0"
"1018937501","301 West 108th Street","10025","1920","146","137","8","0","0","0","0","0","0","0","0","0","0","0","0"
"1018590029","105 West 104th Street","10025","1900","10","10","10","1858987","0","0","0","0","0","0","0","0","0","0","0"
"1012430042","2552 Broadway","10025","1921","52","49","47","0","0","0","0","0","0","0","0","0","0","0","0"
"1018440155","58 West 109th Street","10025","2000","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0"
"1018740025","207 West 102nd Street","10025","1925","22","22","17","0","0","0","0","0","0","0","0","0","0","0","0"
"1018870048","305 West 97th Street","10025","1901","108","108","97","0","0","0","1","0","0","0","0","0","1","0","0"
"1018610034","950 Columbus Avenue","10025","1910","16","14","12","5100000","0","0","0","0","0","0","0","0","0","0","0"
"1012070001","689 Columbus Avenue","10025","1965","249","234","0","247000","0","0","0","0","0","0","0","0","0","0","0"
"1018370029","415 Central Park West","10025","1926","93","92","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1018797502","241 West 107th Street","10025","2013","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011480059","166 West 77th Street","10024","1893","12","12","15","0","0","0","0","0","0","0","0","0","0","0","0"
"1011147503","15 Central Park West","10023","2005","231","229","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011637503","200 West 72nd Street","10023","2008","199","196","196","0","0","0","0","0","0","0","0","0","0","0","0"
"1012040001","621 Columbus Avenue","10024","1970","183","180","0","0","0","0","1","5","0","0","0","0","0","0","0"
"1018790021","211 West 107th Street","10025","1920","11","11","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1011717507","80 Riverside Boulevard","10069","2006","270","267","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018760034","200 West 105th Street","10025","1926","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011587507","150 Amsterdam Avenue","10023","2007","312","310","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018627501","171 West 107th Street","10025","1920","26","25","25","0","0","0","2","0","0","0","0","0","0","0","0"
"1018387502","425 Central Park West","10025","1941","61","61","22","0","0","0","0","0","0","0","0","0","0","0","0"
"1018817502","520 Cathedral Parkway","10025","1911","36","36","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1012450086","320 West 84th Street","10024","1906","36","36","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1012070006","57 West 93rd Street","10025","1926","42","42","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1012310030","482 Amsterdam Avenue","10024","1895","19","17","16","10","0","0","1","1","0","0","0","0","0","0","0"
"1012530021","711 West End Avenue","10025","1952","145","145","129","0","0","0","1","0","0","0","0","0","0","0","0"
"1011710129","180 Riverside Boulevard","10069","1998","523","516","240","0","0","0","3","0","0","0","0","0","0","0","0"
"1011170014","35 West 64th Street","10023","1904","69","68","62","26000000","0","0","0","0","0","0","0","0","0","0","0"
"1018400035","448 Central Park West","10025","1900","42","42","39","0","0","0","0","0","0","0","0","0","0","0","0"
"1018400029","441 Central Park West","10025","1930","120","120","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1018630041","110 West 109th Street","10025","1900","19","19","19","0","0","0","0","0","0","0","0","0","0","0","0"
"1012429055","2527 Broadway","10025","1999","295","285","0","266000000","0","0","0","0","0","0","0","0","0","0","0"
"1012240058","168 West 94th Street","10025","1967","126","121","0","28000000","0","0","0","0","1","0","2","0","0","0","0"
"1011710165","1 West End Avenue","10023","0","367","363","0","168399863","0","0","0","0","0","0","0","0","0","0","0"
"1012410010","2501 Broadway","10025","1900","20","16","19","0","0","0","0","0","0","0","0","0","0","0","0"
"1011710062","101 West End Avenue","10069","1999","506","503","496","416100000","0","0","0","0","0","0","0","0","0","0","0"
"1018590015","133 West 104th Street","10025","1950","28","28","0","75000000","0","0","0","0","0","0","0","0","0","0","0"
"1018337504","400 Central Park West","10025","1961","414","414","56","0","0","0","0","0","0","0","1","0","0","0","0"
"1018417502","44 West 106th Street","10025","2001","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018600027","107 West 105th Street","10025","1930","15","15","0","2","0","0","0","0","0","0","0","0","0","0","0"
"1018710010","2621 Broadway","10025","1950","35","30","31","0","0","0","0","0","0","0","0","0","0","0","0"
"1018760030","902 Amsterdam Avenue","10025","1926","52","52","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1011687501","205 West 76th Street","10024","2007","127","125","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018740052","2689 Broadway","10025","1905","140","135","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018760035","204 West 105th Street","10025","1926","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018790136","202 West 108th Street","10025","2004","5","5","5","1","0","0","1","0","0","0","0","0","0","0","0"
"1012200012","135 West 89th Street","10024","1910","15","15","0","3750","0","0","0","0","0","0","0","0","0","0","0"
"1012200001","601 Amsterdam Avenue","10024","1997","271","265","264","139100000","0","0","1","0","1","0","0","0","0","0","0"
"1018610010","149 West 106th Street","10025","1981","230","230","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011520013","229 West 60th Street","10023","2007","302","301","300","0","0","0","1","0","0","0","0","0","0","0","0"
"1011250009","37 West 72nd Street","10023","1929","94","92","70","0","0","0","0","0","0","0","0","0","0","0","0"
"1018400054","52 West 105th Street","10025","1920","16","15","15","10","0","0","0","0","0","0","0","0","0","0","0"
"1011320021","175 West 60th Street","10023","2013","259","258","258","75000000","0","0","0","0","0","0","0","0","0","0","0"
"1018760134","202 West 105th Street","10025","1926","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018760037","210 West 105th Street","10025","1926","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1012477502","535 West End Avenue","10024","2008","32","31","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1012090109","55 West 95th Street","10025","1913","48","48","8","0","0","0","0","0","0","0","0","0","0","0","0"
"1012130042","126 West 83rd Street","10024","1905","74","72","72","0","0","0","0","1","0","0","0","0","0","0","0"
"1018700045","2612 Broadway","10025","1925","138","137","137","11200000","0","0","0","0","0","0","0","0","0","0","0"
"1011540158","243 West 63rd Street","10023","1907","49","49","11","0","0","0","0","0","0","0","0","0","0","0","0"
"1011410037","114 West 70th Street","10023","1922","36","36","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1011437505","120 West 72nd Street","10023","2007","19","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011540162","235 West 63rd Street","10023","1907","47","47","11","0","0","0","4","0","0","0","0","0","0","0","0"
"1018400153","113 Manhattan Avenue","10025","1890","8","8","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1018760135","206 West 105th Street","10025","1926","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018800055","244 West 109th Street","10025","1920","25","25","25","1800000","0","0","0","0","0","0","0","0","0","0","0"
"1018717502","2628 Broadway","10025","2006","65","64","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011240011","51 West 71st Street","10023","1886","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0"
"1011280061","331 Columbus Avenue","10023","1894","57","56","54","0","0","0","0","0","0","0","0","0","0","0","0"
"1011430007","167 West 71st Street","10023","1907","21","21","3","0","0","0","0","8","0","0","0","0","0","0","0"
"1011450012","141 West 73rd Street","10023","1919","176","175","0","0","0","0","3","0","0","0","0","0","0","0","0"
"1011480160","170 West 77th Street","10024","1893","11","11","11","0","0","0","0","0","0","0","0","0","0","0","0"
"1018380022","17 West 102nd Street","10025","1998","54","54","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018400157","70 West 105th Street","10025","1900","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018390023","13 West 103rd Street","10025","1910","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018590030","103 West 104th Street","10025","1900","10","10","10","1858987","0","0","0","3","0","0","0","0","0","0","0"
"1012500039","599 West End Avenue","10024","1924","28","28","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1012500051","324 West 89th Street","10024","1890","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1012500001","160 Riverside Drive","10024","1922","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011690016","2180 Broadway","10024","2012","183","181","181","0","0","0","0","0","0","0","0","0","0","0","0"
"1018430020","152 Manhattan Avenue","10025","1900","81","81","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1018870001","240 Riverside Drive","10025","1916","47","47","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011170016","29 West 64th Street","10023","1938","43","43","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1012030117","39 West 89th Street","10024","1895","6","6","9","0","0","0","0","0","0","0","0","0","0","0","0"
"1018770018","227 West 105th Street","10025","1925","40","40","36","10000000","0","0","0","0","0","0","0","0","0","0","0"
"1018910011","305 West 104th Street","10025","1925","40","40","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1011517502","10 West End Avenue","10023","2005","172","170","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018630039","106 West 109th Street","10025","1900","19","19","19","0","0","0","0","0","0","0","0","0","0","0","0"
"1011540160","239 West 63rd Street","10023","1907","41","41","9","0","0","0","4","0","0","0","0","0","0","0","0"
"1018700035","794 Amsterdam Avenue","10025","1925","11","10","5","0","0","0","0","0","0","0","0","0","0","0","0"
"1018420051","50 West 107th Street","10025","1920","84","84","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018450005","63 West 109th Street","10025","1900","13","13","13","0","0","0","0","0","0","0","0","0","0","0","0"
"1012420010","2521 Broadway","10025","2001","60","60","285","266000000","0","0","0","0","0","0","0","0","0","0","0"
"1018527502","801 Amsterdam Avenue","10025","2008","105","100","100","0","0","0","0","0","0","0","0","0","0","0","0"
"1018630043","114 West 109th Street","10025","1900","15","15","15","0","0","0","0","0","0","0","0","0","0","0","0"
"1018590046","140 West 105th Street","10025","1920","29","29","0","3200000","0","0","0","0","0","0","0","0","0","0","0"
"1018420042","14 West 107th Street","10025","1910","89","89","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018360023","19 West 100th Street","10025","1925","19","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018887503","300 West 100th Street","10025","1910","76","76","16","0","0","0","0","0","0","0","0","0","0","0","0"
"1018760036","208 West 105th Street","10025","1926","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018730039","210 West 102nd Street","10025","2006","26","26","24","1","0","0","0","0","0","0","0","0","0","0","0"
"1012010058","66 West 88th Street","10024","1941","48","48","43","17000000","0","0","0","0","0","0","0","0","0","0","0"
"1018770028","211 West 105th Street","10025","1999","11","11","11","0","0","0","0","0","0","0","0","0","0","0","0"
"1011480060","168 West 77th Street","10024","1893","6","6","14","0","0","0","0","0","0","0","0","0","0","0","0"
"1018620001","961 Amsterdam Avenue","10025","1925","19","15","2","0","0","0","1","0","1","0","0","0","0","0","0"
"1018640036","400 Cathedral Parkway","10025","1908","143","140","0","0","0","0","4","0","0","0","0","0","0","0","0"
"1011167502","15 West 63rd Street","10023","1999","56","51","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018640039","412 Cathedral Parkway","10025","1930","49","49","18","0","0","0","0","0","0","0","0","0","0","0","0"
"1018390045","82 Manhattan Avenue","10025","1920","20","20","20","0","0","0","0","0","0","0","0","0","0","0","0"
"1018597501","123 West 104th Street","10025","1990","69","56","56","0","0","0","2","0","0","0","0","0","0","0","1"
"1018590128","107 West 104th Street","10025","1900","10","10","10","1858987","0","0","0","0","0","0","0","0","0","0","0"
"1011580012","170 Amsterdam Avenue","10023","2016","239","236","236","0","0","0","0","0","0","0","0","0","0","0","2"
"1011560001","110 West End Avenue","10023","1976","188","186","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011717506","33 West End Avenue","10023","2006","333","331","331","0","0","0","0","0","0","0","0","0","0","0","2"
"1018720043","2644 Broadway","10025","1926","176","167","162","0","0","0","0","0","0","0","0","0","0","0","0"
"1011980019","15 West 84th Street","10024","1947","90","86","8","0","0","0","0","0","0","0","0","0","1","0","0"
"1011860033","375 West End Avenue","10024","1912","48","48","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1012080052","46 West 95th Street","10025","1923","36","36","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1012120052","146 West 82nd Street","10024","1894","18","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011517503","555 West 59th Street","10019","2007","191","186","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1012170057","166 West 87th Street","10024","1914","201","201","202","0","0","0","0","10","1","0","0","0","0","0","0"
"1018380039","8 West 103rd Street","10025","1910","15","15","10","0","0","0","0","0","0","0","0","0","0","0","0"
"1018760039","214 West 105th Street","10025","1926","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018700043","2616 Broadway","10025","1920","26","21","18","0","0","0","1","0","0","0","0","0","0","0","0"
"1018400037","4 West 105th Street","10025","1900","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018380038","6 West 103rd Street","10025","1910","20","20","16","0","0","0","0","0","0","0","0","0","0","0","0"
"1018790024","207 West 107th Street","10025","1900","12","12","12","13650000","0","0","5","8","1","0","0","0","0","0","0"
"1018790043","216 West 108th Street","10025","1900","15","15","14","5243000","0","0","0","0","0","0","0","0","0","0","0"
"1011980015","29 West 84th Street","10024","1890","18","18","7","7000000","0","0","0","0","0","0","0","0","0","0","0"
"1012430139","210 West 96th Street","10025","2009","9","8","9","22200000","0","0","0","0","0","0","0","0","0","0","0"
"1012237504","134 West 93rd Street","10025","1925","53","53","14","0","0","0","0","0","0","0","0","0","0","0","0"
"1018430025","11 West 107th Street","10025","1900","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018337505","775 Columbus Avenue","10025","2007","61","56","56","0","0","0","0","0","0","0","0","0","0","0","0"
"1012310040","208 West 84th Street","10024","1900","20","20","20","2","0","0","0","0","0","0","0","0","0","0","0"
"1018410001","921 Columbus Avenue","10025","1927","34","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011697502","230 West 78th Street","10024","2008","34","34","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011320035","160 West 62nd Street","10023","2014","340","339","339","125000000","0","0","1","0","0","0","0","0","0","0","0"
"1011200061","74 West 68th Street","10023","1924","58","58","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1012400052","2495 Broadway","10025","2005","150","147","143","0","0","0","1","0","0","0","0","0","0","1","0"
"1018640023","107 West 109th Street","10025","1930","49","49","48","21275625","0","0","0","0","0","0","0","0","0","0","0"
"1018700029","780 Amsterdam Avenue","10025","1900","20","20","0","0","0","0","0","2","0","0","0","0","0","0","0"
"1018440001","981 Columbus Avenue","10025","1900","138","128","68","0","0","0","0","0","0","0","0","0","0","0","1"
"1018337506","795 Columbus Avenue","10025","2007","138","132","132","0","0","0","0","0","0","0","0","0","0","0","0"
"1011480056","160 West 77th Street","10024","1926","45","45","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1012480041","320 West 87th Street","10024","1912","36","36","7","0","0","0","0","0","0","0","0","0","0","0","0"
"1011960029","225 Central Park West","10024","1926","345","338","5","0","0","0","0","0","0","0","0","0","0","0","0"
"1018590027","109 West 104th Street","10025","1900","10","10","10","1858987","0","0","1","0","0","0","0","0","0","0","0"
"1012010009","51 West 87th Street","10024","1892","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0"
"1012060017","35 West 92nd Street","10025","1930","86","86","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1012110007","165 West 80th Street","10024","1896","39","39","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1018760061","908 West End Avenue","10025","1924","90","90","83","0","0","0","0","0","0","0","0","0","0","0","0"
"1018440055","60 West 109th Street","10025","1902","30","30","30","0","0","0","0","0","0","0","0","0","0","0","0"
"1012240029","100 West 94th Street","10025","1966","169","162","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018320025","7 West 96th Street","10025","1931","80","80","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018630029","980 Columbus Avenue","10025","1900","100","90","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1012320033","506 Amsterdam Avenue","10024","1900","24","22","15","3256829","0","0","13","6","0","0","0","0","0","0","0"
"1018410004","927 Columbus Avenue","10025","1920","15","12","12","0","0","0","0","0","0","0","0","0","0","0","0"
"1018720061","832 West End Avenue","10025","1913","68","68","55","64500000","0","0","0","0","2","0","5","0","1","0","0"
"1018400005","73 West 104th Street","10025","1920","39","39","39","0","0","0","0","0","0","0","0","0","0","0","0"
"1011690057","2191 Broadway","10024","1892","55","50","44","0","0","0","0","0","0","0","0","0","0","0","0"
"1018690001","760 West End Avenue","10025","1926","75","75","5","0","0","0","0","0","0","0","0","0","0","0","0"
"1011717505","100 Riverside Boulevard","10069","2006","270","266","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018690136","202 West 98th Street","10025","1925","20","20","20","6000000","0","0","0","0","0","0","0","0","0","0","0"
"1012010048","36 West 88th Street","10024","1889","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018630049","126 West 109th Street","10025","1900","30","30","30","0","0","0","0","0","0","0","0","0","0","0","2"
"1011440043","126 West 73rd Street","10023","1915","40","40","4","0","0","0","0","0","0","0","0","0","0","0","0"
"1018790036","968 Amsterdam Avenue","10025","1930","118","111","15","0","0","0","0","0","3","0","1","0","0","0","0"
"1018730042","2670 Broadway","10025","1920","39","37","35","0","0","0","1","0","0","0","0","0","0","0","0"
"1018630037","102 West 109th Street","10025","1900","19","19","19","0","0","0","0","0","0","0","0","0","0","0","1"
"1018360019","8 Manhattan Avenue","10025","1900","19","19","19","7000000","0","0","0","11","0","0","0","0","0","0","0"
"1012310039","206 West 84th Street","10024","1900","18","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1012237501","661 Amsterdam Avenue","10025","1940","99","91","4","0","0","0","1","5","0","0","0","0","0","0","0"
"1011820029","225 West End Avenue","10023","1903","43","43","36","0","0","0","0","0","0","0","0","0","0","0","0"
"1018807501","982 Amsterdam Avenue","10025","1925","48","44","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1011560020","240 West 65th Street","10023","1977","176","175","0","0","0","0","0","0","0","0","0","0","0","0","0"
